year,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,points_scored
2025,tsunoda,racing_bulls,melbourne,5,0.5739999999999981,-0.5049999999999955,55.0,0.0,0.6666666666666666,1,1,0
2024,ricciardo,rb,spielberg,11,0.9750000000000084,-0.1230000000000046,44.0,22.0,1.3333333333333333,0,1,1
2022,leclerc,ferrari,budapest,3,0.1899999999999977,0.1459999999999865,156.0,301.0,12.333333333333334,0,1,1
2025,albon,williams,austin,19,1.1599999999999966,0.5460000000000065,111.0,150.0,2.0,0,0,0
2022,tsunoda,alphatauri,barcelona,13,1.888999999999996,-0.0799999999999983,10.0,16.0,2.0,0,0,1
2023,alonso,aston_martin,monza,10,1.1230000000000049,-1.4429999999999978,242.0,257.0,10.333333333333334,0,0,1
2024,leclerc,ferrari,budapest,6,0.6640000000000015,0.1950000000000074,612.0,1158.0,3.333333333333333,0,0,1
2025,russell,mercedes,melbourne,4,0.4500000000000028,-0.9789999999999992,645.0,1302.0,15.666666666666666,1,1,1
2023,sainz,ferrari,monaco,5,0.2650000000000005,0.1589999999999918,268.0,594.0,6.666666666666667,1,1,1
2023,tsunoda,alphatauri,sakhir,14,1.6920000000000073,-0.7209999999999894,12.0,35.0,0.0,0,0,0
2025,gasly,alpine,las_vegas,10,3.6060000000000088,-2.1430000000000007,137.0,363.0,0.3333333333333333,1,0,0
2024,norris,mclaren,monza,1,0.0,-0.1090000000000088,516.0,817.0,18.0,0,0,1
2023,zhou,alfa_romeo,yas_island,19,1.6690000000000111,0.3260000000000076,12.0,69.0,0.0,0,0,0
2023,sargeant,williams,monaco,16,1.7480000000000049,0.5859999999999985,0.0,9.0,0.0,1,1,0
2022,alonso,alpine,monza,10,1.6679999999999922,-0.3010000000000019,59.0,122.0,7.333333333333333,0,0,0
2022,perez,red_bull_racing,baku,2,0.2820000000000107,-0.0649999999999977,104.0,246.0,18.666666666666668,1,0,1
2025,hulkenberg,kick_sauber,sakhir,16,1.852000000000004,-0.4930000000000092,48.0,10.0,2.0,0,0,0
2022,verstappen,red_bull_racing,baku,3,0.3470000000000084,0.0649999999999977,117.0,221.0,22.0,1,0,1
2023,tsunoda,alphatauri,barcelona,15,1.043999999999997,-0.2650000000000005,14.0,37.0,0.3333333333333333,0,0,0
2024,alonso,aston_martin,imola,19,2.1710000000000065,0.9249999999999972,312.0,365.0,5.666666666666667,0,0,0
2023,albon,williams,mexico_city,14,1.13600000000001,-1.6629999999999967,27.0,32.0,0.6666666666666666,0,0,1
2022,russell,mercedes,monza,6,1.3810000000000002,0.0180000000000006,183.0,340.0,15.0,0,0,1
2022,ocon,alpine,imola,19,3.6599999999999966,2.742999999999995,20.0,22.0,6.666666666666667,0,0,0
2022,ocon,alpine,baku,13,2.225999999999999,0.4119999999999919,30.0,46.0,3.333333333333333,1,0,1
2022,russell,mercedes,silverstone,8,0.8990000000000009,-0.3999999999999915,111.0,204.0,12.333333333333334,0,1,0
2025,bearman,haas_f1_team,montr_al,14,1.4069999999999965,-0.0720000000000027,13.0,121.0,0.0,0,1,0
2022,norris,mclaren,imola,3,0.6159999999999997,-0.686000000000007,16.0,24.0,5.333333333333333,0,0,1
2023,de_vries,alphatauri,montr_al,18,4.412000000000006,0.3910000000000053,2.0,37.0,0.0,0,0,0
2022,tsunoda,alphatauri,melbourne,13,1.5560000000000116,0.1980000000000075,4.0,10.0,2.0,1,0,0
2025,bearman,haas_f1_team,jeddah,15,1.2420000000000044,-0.5559999999999974,13.0,113.0,2.0,1,0,0
2022,hamilton,mercedes,miami,6,0.8289999999999935,-0.5480000000000018,28.0,87.0,4.333333333333333,1,1,1
2023,albon,williams,zandvoort,4,0.8520000000000039,-5.329000000000008,15.0,19.0,1.3333333333333333,0,1,1
2024,tsunoda,rb,sakhir,11,0.9639999999999986,-0.1490000000000009,26.0,0.0,2.0,0,0,0
2022,bottas,alfa_romeo,zandvoort,16,1.6189999999999998,0.257000000000005,44.0,49.0,0.0,0,0,0
2024,verstappen,red_bull_racing,barcelona,2,0.0200000000000102,-0.6509999999999962,1141.0,1787.0,19.33333333333333,0,1,1
2024,ocon,alpine,shanghai,13,1.5630000000000024,-0.0640000000000071,145.0,280.0,0.0,0,0,0
2023,bottas,alfa_romeo,mexico_city,9,0.8500000000000085,-0.0339999999999918,57.0,69.0,1.3333333333333333,0,0,0
2022,perez,red_bull_racing,austin,4,0.2890000000000015,0.1970000000000027,243.0,618.0,17.333333333333332,0,0,1
2023,norris,mclaren,zandvoort,2,0.5370000000000061,-0.8340000000000032,182.0,243.0,14.0,0,1,1
2023,leclerc,ferrari,s_o_paulo,2,0.2819999999999965,0.0489999999999923,440.0,838.0,8.333333333333334,0,1,0
2025,piastri,mclaren,spielberg,3,0.5830000000000055,0.5830000000000055,531.0,1401.0,17.333333333333332,0,0,1
2025,leclerc,ferrari,miami_gardens,8,0.5500000000000114,-0.2519999999999953,846.0,1543.0,13.0,1,1,1
2024,zhou,kick_sauber,baku,18,2.881,0.6280000000000001,12.0,0.0,0.0,1,0,0
2023,hulkenberg,haas_f1_team,sakhir,10,1.100999999999999,-1.0829999999999984,0.0,33.0,0.0,0,0,0
2024,perez,red_bull_racing,lusail,9,0.9050000000000012,0.9050000000000012,689.0,2043.0,0.3333333333333333,0,0,0
2022,russell,mercedes,monaco,6,0.73599999999999,-0.4480000000000075,74.0,120.0,12.333333333333334,1,1,1
2023,ocon,alpine,montr_al,6,1.6810000000000116,-2.4799999999999898,114.0,210.0,7.0,0,0,1
2025,gasly,alpine,monaco,18,2.0400000000000063,-0.6029999999999944,123.0,349.0,0.0,1,0,0
2024,stroll,aston_martin,suzuka,16,1.8269999999999984,1.337999999999994,95.0,354.0,3.0,0,0,0
2023,perez,red_bull_racing,melbourne,20,23.455,23.455,334.0,836.0,19.33333333333333,1,0,1
2024,hulkenberg,haas_f1_team,austin,12,1.2139999999999986,0.0699999999999931,28.0,71.0,0.6666666666666666,0,0,1
2022,alonso,alpine,melbourne,10,0.9470000000000028,-0.2460000000000093,2.0,22.0,1.0,1,0,0
2022,latifi,williams,zandvoort,20,3.010999999999996,1.6580000000000013,0.0,4.0,0.0,0,0,0
2022,latifi,williams,spa_francorchamps,17,2.73599999999999,0.7289999999999992,0.0,4.0,0.0,0,0,0
2022,ricciardo,mclaren,zandvoort,17,1.7390000000000043,0.9650000000000034,16.0,94.0,0.6666666666666666,0,0,0
2022,ocon,alpine,montr_al,7,2.2299999999999898,1.5849999999999935,31.0,47.0,2.333333333333333,0,0,1
2023,stroll,aston_martin,montr_al,13,2.7590000000000003,1.7079999999999984,52.0,203.0,2.6666666666666665,0,0,1
2024,albon,williams,zandvoort,10,0.980000000000004,0.0,33.0,38.0,0.6666666666666666,0,0,0
2023,tsunoda,alphatauri,spa_francorchamps,11,6.97999999999999,-6.335000000000008,14.0,37.0,0.0,0,1,1
2022,albon,williams,s_o_paulo,11,0.75,-3.463999999999998,4.0,8.0,0.0,0,0,0
2024,ricciardo,rb,marina_bay,16,1.559999999999988,0.7959999999999923,47.0,28.0,0.0,1,0,0
2025,bortoleto,kick_sauber,melbourne,15,1.4200000000000017,-0.0629999999999881,0.0,10.0,0.0,1,1,0
2025,norris,mclaren,zandvoort,2,0.0120000000000004,0.0120000000000004,904.0,1573.0,22.666666666666668,0,0,0
2024,zhou,kick_sauber,monza,20,2.117999999999995,0.3439999999999941,12.0,0.0,0.0,0,0,0
2022,albon,williams,sakhir,14,2.1059999999999945,-0.9699999999999988,0.0,0.0,0.0,0,0,0
2024,bottas,kick_sauber,melbourne,13,1.4249999999999972,-0.847999999999999,57.0,0.0,0.0,1,0,0
2023,hamilton,mercedes,miami,13,1.032000000000011,0.1030000000000086,279.0,576.0,12.0,1,0,1
2023,tsunoda,alphatauri,austin,11,0.9789999999999992,-0.277000000000001,15.0,40.0,0.0,0,0,1
2025,stroll,aston_martin,sakhir,19,2.4420000000000077,0.6490000000000009,120.0,425.0,3.333333333333333,0,0,0
2024,sainz,ferrari,marina_bay,10,0.5829999999999984,0.3610000000000042,578.0,1291.0,7.333333333333333,1,0,1
2023,alonso,aston_martin,lusail,4,0.590999999999994,-1.975999999999999,248.0,263.0,2.0,0,0,1
2023,alonso,aston_martin,spielberg,7,0.519999999999996,0.0180000000000006,195.0,205.0,14.0,0,1,1
2022,russell,mercedes,barcelona,4,0.6430000000000007,-0.1189999999999997,59.0,95.0,12.333333333333334,0,0,1
2022,schumacher,haas_f1_team,suzuka,15,1.847999999999999,-0.2000000000000028,12.0,31.0,0.0,0,1,0
2025,sainz,williams,miami_gardens,6,0.3650000000000091,-0.1129999999999995,673.0,86.0,1.3333333333333333,1,1,1
2025,stroll,aston_martin,marina_bay,15,1.7909999999999968,0.9939999999999998,138.0,479.0,2.0,1,1,0
2025,gasly,alpine,barcelona,8,0.6529999999999916,-1.1350000000000051,123.0,349.0,0.0,0,0,1
2025,bearman,haas_f1_team,las_vegas,14,5.159999999999997,0.1069999999999993,45.0,159.0,7.333333333333333,1,0,1
2024,hamilton,mercedes,suzuka,7,0.5690000000000026,-0.2419999999999902,458.0,901.0,2.6666666666666665,0,0,1
2025,piastri,mclaren,monaco,3,0.1750000000000113,0.1750000000000113,479.0,1306.0,21.666666666666668,1,0,1
2025,ocon,haas_f1_team,las_vegas,13,5.052999999999997,-0.1069999999999993,194.0,157.0,0.6666666666666666,1,0,1
2025,hamilton,ferrari,lusail,18,1.519999999999996,0.563999999999993,788.0,1821.0,2.6666666666666665,0,0,0
2022,perez,red_bull_racing,monaco,3,0.2530000000000001,-0.0369999999999919,79.0,181.0,16.333333333333332,1,1,1
2024,albon,williams,yas_island,16,1.225999999999999,-0.0910000000000081,41.0,51.0,0.0,0,0,0
2025,gasly,alpine,lusail,9,0.9369999999999976,-0.8130000000000024,137.0,363.0,0.3333333333333333,0,0,0
2023,stroll,aston_martin,austin,19,1.8709999999999951,0.3209999999999979,59.0,271.0,0.0,0,0,1
2025,hamilton,ferrari,spa_francorchamps,16,1.102000000000004,0.7639999999999958,746.0,1696.0,10.666666666666666,0,1,1
2022,latifi,williams,marina_bay,20,8.11999999999999,0.546999999999997,0.0,6.0,0.0,1,1,0
2022,zhou,alfa_romeo,jeddah,13,16.149,0.6359999999999957,1.0,9.0,1.0,1,0,0
2023,perez,red_bull_racing,silverstone,15,3.2480000000000047,3.2480000000000047,424.0,1098.0,12.0,0,0,1
2025,norris,mclaren,spa_francorchamps,1,0.0,-0.0640000000000071,861.0,1487.0,16.666666666666668,0,1,1
2025,stroll,aston_martin,silverstone,18,1.612000000000009,0.9110000000000014,120.0,439.0,0.0,0,1,1
2023,leclerc,ferrari,jeddah,2,0.1550000000000011,-0.5109999999999957,291.0,539.0,10.0,1,0,1
2025,russell,mercedes,monza,6,0.3649999999999949,-0.0430000000000063,819.0,1536.0,12.333333333333334,0,0,1
2024,hulkenberg,haas_f1_team,spielberg,9,0.9480000000000076,-0.0849999999999937,10.0,47.0,0.0,0,1,1
2025,ocon,haas_f1_team,jeddah,19,1.7980000000000018,0.5559999999999974,182.0,113.0,4.666666666666667,1,0,0
2022,stroll,aston_martin,le_castellet,17,2.566999999999993,0.1629999999999967,3.0,18.0,0.3333333333333333,0,0,1
2022,magnussen,haas_f1_team,silverstone,17,3.030000000000001,-0.5489999999999924,14.0,18.0,0.0,0,1,1
2024,alonso,aston_martin,barcelona,11,0.7450000000000045,-0.2439999999999997,320.0,379.0,2.6666666666666665,0,1,0
2022,sainz,ferrari,spa_francorchamps,2,0.6319999999999908,-0.2540000000000049,145.0,309.0,7.666666666666667,0,0,1
2025,antonelli,mercedes,miami_gardens,3,0.0670000000000072,-0.1140000000000043,36.0,1421.0,5.333333333333333,1,1,1
2024,sainz,ferrari,shanghai,7,0.6370000000000005,0.0079999999999955,461.0,1014.0,18.33333333333333,0,0,1
2024,zhou,kick_sauber,marina_bay,20,2.5289999999999964,0.4819999999999993,12.0,0.0,0.0,1,0,0
2022,albon,williams,melbourne,16,2.26700000000001,-1.2369999999999948,0.0,0.0,0.0,1,0,1
2023,tsunoda,alphatauri,marina_bay,15,1.007000000000005,-0.1749999999999971,15.0,40.0,0.3333333333333333,1,0,0
2025,sainz,williams,jeddah,6,0.730000000000004,-0.0849999999999937,669.0,70.0,0.3333333333333333,1,0,1
2022,verstappen,red_bull_racing,barcelona,2,0.3229999999999933,-0.3470000000000084,77.0,137.0,17.333333333333332,0,0,1
2022,perez,red_bull_racing,sakhir,4,0.3629999999999995,0.2400000000000091,0.0,0.0,0.0,0,0,0
2023,bottas,alfa_romeo,miami,10,0.75,-0.527000000000001,51.0,59.0,0.0,1,0,0
2023,sargeant,williams,jeddah,20,1.456000000000003,-0.2729999999999961,0.0,9.0,0.0,1,0,0
2024,piastri,mclaren,budapest,2,0.0219999999999913,0.0219999999999913,194.0,690.0,12.0,0,0,1
2024,tsunoda,rb,las_vegas,7,0.7169999999999987,-1.058000000000007,53.0,38.0,2.0,1,0,1
2022,tsunoda,alphatauri,jeddah,20,1.6594142076502738,0.0,4.0,8.0,4.0,1,0,0
2023,leclerc,ferrari,sakhir,3,0.2920000000000016,-0.1539999999999963,291.0,531.0,12.666666666666666,0,0,0
2023,verstappen,red_bull_racing,melbourne,1,0.0,-23.455,477.0,811.0,23.0,1,0,1
2022,latifi,williams,austin,20,2.888000000000005,0.8760000000000048,2.0,8.0,0.6666666666666666,0,0,0
2022,ocon,alpine,silverstone,15,2.600999999999999,0.132000000000005,39.0,67.0,3.0,0,1,0
2025,stroll,aston_martin,yas_island,15,0.8900000000000006,0.23599999999999,138.0,494.0,0.0,0,0,1
2023,russell,mercedes,spielberg,11,1.016999999999996,0.5889999999999986,322.0,655.0,8.333333333333334,0,1,1
