year,round,event,driver,team,quali_position,avg_race_lap_time_s,finish_position,points_awarded,prev_points_total,scored_points
2022,1,Bahrain Grand Prix,LEC,Ferrari,1,97.60420833333335,1.0,26.0,0.0,1
2022,1,Bahrain Grand Prix,SAI,Ferrari,3,98.0799574468085,2.0,18.0,0.0,1
2022,1,Bahrain Grand Prix,HAM,Mercedes,5,98.26624444444444,3.0,15.0,0.0,1
2022,1,Bahrain Grand Prix,RUS,Mercedes,9,98.63902173913043,4.0,12.0,0.0,1
2022,1,Bahrain Grand Prix,MAG,Haas F1 Team,7,98.85283333333334,5.0,10.0,0.0,1
2022,1,Bahrain Grand Prix,BOT,Alfa Romeo,6,99.17099999999999,6.0,8.0,0.0,1
2022,1,Bahrain Grand Prix,OCO,Alpine,11,99.2266046511628,7.0,6.0,0.0,1
2022,1,Bahrain Grand Prix,TSU,AlphaTauri,16,99.26652380952382,8.0,4.0,0.0,1
2022,1,Bahrain Grand Prix,ALO,Alpine,8,99.36304878048782,9.0,2.0,0.0,1
2022,1,Bahrain Grand Prix,ZHO,Alfa Romeo,15,99.06826315789472,10.0,1.0,0.0,1
2022,1,Bahrain Grand Prix,MSC,Haas F1 Team,12,99.5865135135135,11.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,STR,Aston Martin,19,99.38767647058822,12.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,ALB,Williams,14,99.73946875,13.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,RIC,McLaren,18,99.51965625,14.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,NOR,McLaren,13,99.03734782608697,15.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,LAT,Williams,20,99.78335714285716,16.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,HUL,Aston Martin,17,99.60523333333335,17.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,PER,Red Bull Racing,4,98.15549999999999,18.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,VER,Red Bull Racing,2,97.94781395348836,19.0,0.0,0.0,0
2022,1,Bahrain Grand Prix,GAS,AlphaTauri,10,99.43181081081082,20.0,0.0,0.0,0
2022,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,4,93.6858780487805,1.0,25.0,0.0,1
2022,2,Saudi Arabian Grand Prix,LEC,Ferrari,2,93.75066666666666,2.0,19.0,26.0,1
2022,2,Saudi Arabian Grand Prix,SAI,Ferrari,3,93.83268292682928,3.0,15.0,18.0,1
2022,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,1,93.77226829268291,4.0,12.0,0.0,1
2022,2,Saudi Arabian Grand Prix,RUS,Mercedes,6,94.60863414634147,5.0,10.0,12.0,1
2022,2,Saudi Arabian Grand Prix,OCO,Alpine,5,95.28899999999999,6.0,8.0,6.0,1
2022,2,Saudi Arabian Grand Prix,NOR,McLaren,11,95.44131578947369,7.0,6.0,0.0,1
2022,2,Saudi Arabian Grand Prix,GAS,AlphaTauri,9,95.49856756756756,8.0,4.0,0.0,1
2022,2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,10,95.2664,9.0,2.0,10.0,1
2022,2,Saudi Arabian Grand Prix,HAM,Mercedes,16,95.23436842105264,10.0,1.0,15.0,1
2022,2,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,13,95.66055555555555,11.0,0.0,1.0,0
2022,2,Saudi Arabian Grand Prix,HUL,Aston Martin,18,95.9631142857143,12.0,0.0,0.0,0
2022,2,Saudi Arabian Grand Prix,STR,Aston Martin,15,96.13206451612902,13.0,0.0,0.0,0
2022,2,Saudi Arabian Grand Prix,ALB,Williams,17,96.00207142857143,14.0,0.0,0.0,0
2022,2,Saudi Arabian Grand Prix,BOT,Alfa Romeo,8,95.99217857142855,15.0,0.0,8.0,0
2022,2,Saudi Arabian Grand Prix,ALO,Alpine,7,95.78692857142856,16.0,0.0,2.0,0
2022,2,Saudi Arabian Grand Prix,RIC,McLaren,12,95.83320833333333,17.0,0.0,0.0,0
2022,2,Saudi Arabian Grand Prix,LAT,Williams,19,97.7105,18.0,0.0,0.0,0
2022,2,Saudi Arabian Grand Prix,TSU,AlphaTauri,20,90.51067636921339,19.0,0.0,4.0,0
2022,2,Saudi Arabian Grand Prix,MSC,Haas F1 Team,14,90.51067636921339,,0.0,0.0,0
2022,3,Australian Grand Prix,LEC,Ferrari,1,82.59454347826087,1.0,26.0,45.0,1
2022,3,Australian Grand Prix,PER,Red Bull Racing,3,83.23872727272727,2.0,18.0,12.0,1
2022,3,Australian Grand Prix,RUS,Mercedes,6,83.50371739130435,3.0,15.0,22.0,1
2022,3,Australian Grand Prix,HAM,Mercedes,5,83.41404545454546,4.0,12.0,16.0,1
2022,3,Australian Grand Prix,NOR,McLaren,4,84.0267380952381,5.0,10.0,6.0,1
2022,3,Australian Grand Prix,RIC,McLaren,7,83.98541463414634,6.0,8.0,0.0,1
2022,3,Australian Grand Prix,OCO,Alpine,8,84.12,7.0,6.0,14.0,1
2022,3,Australian Grand Prix,BOT,Alfa Romeo,12,84.07491666666665,8.0,4.0,8.0,1
2022,3,Australian Grand Prix,GAS,AlphaTauri,11,84.43163157894737,9.0,2.0,4.0,1
2022,3,Australian Grand Prix,ALB,Williams,16,84.09508823529411,10.0,1.0,0.0,1
2022,3,Australian Grand Prix,ZHO,Alfa Romeo,14,84.29042424242425,11.0,0.0,1.0,0
2022,3,Australian Grand Prix,STR,Aston Martin,20,84.63336111111111,12.0,0.0,0.0,0
2022,3,Australian Grand Prix,MSC,Haas F1 Team,15,84.38228571428571,13.0,0.0,0.0,0
2022,3,Australian Grand Prix,MAG,Haas F1 Team,17,84.6096923076923,14.0,0.0,12.0,0
2022,3,Australian Grand Prix,TSU,AlphaTauri,13,84.63824242424242,15.0,0.0,4.0,0
2022,3,Australian Grand Prix,LAT,Williams,19,84.73664705882354,16.0,0.0,0.0,0
2022,3,Australian Grand Prix,ALO,Alpine,10,84.39094285714286,17.0,0.0,2.0,0
2022,3,Australian Grand Prix,VER,Red Bull Racing,2,83.583,18.0,0.0,25.0,0
2022,3,Australian Grand Prix,VET,Aston Martin,18,85.44157142857144,19.0,0.0,0.0,0
2022,3,Australian Grand Prix,SAI,Ferrari,9,90.51067636921339,20.0,0.0,33.0,0
