year,round,event,driver,team,quali_position,avg_race_lap_time_s,finish_position,points_awarded,prev_points_total,scored_points
2020,1,Austrian Grand Prix,BOT,Mercedes,1.0,68.8516346153846,1.0,25.0,0.0,1
2020,1,Austrian Grand Prix,LEC,Ferrari,7.0,69.49736,2.0,18.0,0.0,1
2020,1,Austrian Grand Prix,NOR,McLaren,4.0,69.44406,3.0,16.0,0.0,1
2020,1,Austrian Grand Prix,HAM,Mercedes,2.0,68.78976,4.0,12.0,0.0,1
2020,1,Austrian Grand Prix,SAI,McLaren,8.0,69.67617999999999,5.0,10.0,0.0,1
2020,1,Austrian Grand Prix,PER,Racing Point,6.0,69.4739,6.0,8.0,0.0,1
2020,1,Austrian Grand Prix,GAS,AlphaTauri,12.0,70.18508163265307,7.0,6.0,0.0,1
2020,1,Austrian Grand Prix,OCO,Renault,14.0,70.31833333333334,8.0,4.0,0.0,1
2020,1,Austrian Grand Prix,GIO,Alfa Romeo Racing,18.0,70.34608888888889,9.0,2.0,0.0,1
2020,1,Austrian Grand Prix,VET,Ferrari,11.0,70.2968163265306,10.0,1.0,0.0,1
2020,1,Austrian Grand Prix,LAT,Williams,20.0,70.94536363636364,11.0,0.0,0.0,0
2020,1,Austrian Grand Prix,KVY,AlphaTauri,13.0,70.48421276595745,12.0,0.0,0.0,0
2020,1,Austrian Grand Prix,ALB,Red Bull Racing,5.0,69.48424444444444,13.0,0.0,0.0,0
2020,1,Austrian Grand Prix,RAI,Alfa Romeo Racing,19.0,70.53917142857144,14.0,0.0,0.0,0
2020,1,Austrian Grand Prix,RUS,Williams,17.0,70.78379411764706,15.0,0.0,0.0,0
2020,1,Austrian Grand Prix,GRO,Haas F1 Team,15.0,71.05190625,16.0,0.0,0.0,0
2020,1,Austrian Grand Prix,MAG,Haas F1 Team,16.0,71.25706249999999,17.0,0.0,0.0,0
2020,1,Austrian Grand Prix,STR,Racing Point,9.0,70.80236363636364,18.0,0.0,0.0,0
2020,1,Austrian Grand Prix,RIC,Renault,10.0,70.9468,19.0,0.0,0.0,0
2020,1,Austrian Grand Prix,VER,Red Bull Racing,3.0,69.50762499999999,20.0,0.0,0.0,0
2020,2,Styrian Grand Prix,HAM,Mercedes,1.0,68.21092424242424,1.0,25.0,12.0,1
2020,2,Styrian Grand Prix,BOT,Mercedes,4.0,68.31021874999999,2.0,18.0,25.0,1
2020,2,Styrian Grand Prix,VER,Red Bull Racing,2.0,68.36593650793651,3.0,15.0,0.0,1
2020,2,Styrian Grand Prix,ALB,Red Bull Racing,7.0,68.68958064516129,4.0,12.0,0.0,1
2020,2,Styrian Grand Prix,NOR,McLaren,6.0,68.6481851851852,5.0,10.0,16.0,1
2020,2,Styrian Grand Prix,PER,Racing Point,17.0,68.54789090909091,6.0,8.0,8.0,1
2020,2,Styrian Grand Prix,STR,Racing Point,13.0,68.83352631578948,7.0,6.0,0.0,1
2020,2,Styrian Grand Prix,RIC,Renault,9.0,68.82667857142857,8.0,4.0,0.0,1
2020,2,Styrian Grand Prix,SAI,McLaren,3.0,68.97045614035088,9.0,3.0,10.0,1
2020,2,Styrian Grand Prix,KVY,AlphaTauri,14.0,69.17634782608697,10.0,1.0,0.0,1
2020,2,Styrian Grand Prix,RAI,Alfa Romeo Racing,16.0,69.39513207547168,11.0,0.0,0.0,0
2020,2,Styrian Grand Prix,MAG,Haas F1 Team,15.0,69.16406666666667,12.0,0.0,0.0,0
2020,2,Styrian Grand Prix,GRO,Haas F1 Team,20.0,69.17610869565219,13.0,0.0,0.0,0
2020,2,Styrian Grand Prix,GIO,Alfa Romeo Racing,19.0,69.33727906976746,14.0,0.0,2.0,0
2020,2,Styrian Grand Prix,GAS,AlphaTauri,8.0,69.13802439024391,15.0,0.0,6.0,0
2020,2,Styrian Grand Prix,RUS,Williams,12.0,69.33913793103449,16.0,0.0,0.0,0
2020,2,Styrian Grand Prix,LAT,Williams,18.0,69.52368965517242,17.0,0.0,0.0,0
2020,2,Styrian Grand Prix,OCO,Renault,5.0,69.76108333333333,18.0,0.0,4.0,0
2020,2,Styrian Grand Prix,LEC,Ferrari,11.0,89.59704828633757,19.0,0.0,18.0,0
2020,2,Styrian Grand Prix,VET,Ferrari,10.0,89.59704828633757,20.0,0.0,1.0,0
2020,3,Hungarian Grand Prix,HAM,Mercedes,1.0,80.47994545454547,1.0,26.0,37.0,1
2020,3,Hungarian Grand Prix,VER,Red Bull Racing,7.0,80.38690909090909,2.0,18.0,15.0,1
2020,3,Hungarian Grand Prix,BOT,Mercedes,2.0,79.73963636363636,3.0,15.0,43.0,1
2020,3,Hungarian Grand Prix,STR,Racing Point,3.0,80.54338461538461,4.0,12.0,6.0,1
2020,3,Hungarian Grand Prix,ALB,Red Bull Racing,13.0,80.49442424242423,5.0,10.0,12.0,1
2020,3,Hungarian Grand Prix,VET,Ferrari,5.0,80.87154285714286,6.0,8.0,1.0,1
2020,3,Hungarian Grand Prix,PER,Racing Point,4.0,80.78252941176471,7.0,6.0,16.0,1
2020,3,Hungarian Grand Prix,RIC,Renault,11.0,80.58153333333333,8.0,4.0,4.0,1
2020,3,Hungarian Grand Prix,SAI,McLaren,9.0,80.69857692307693,9.0,2.0,13.0,1
2020,3,Hungarian Grand Prix,MAG,Haas F1 Team,16.0,80.91264285714284,10.0,1.0,0.0,1
2020,3,Hungarian Grand Prix,LEC,Ferrari,6.0,81.44032258064517,11.0,0.0,18.0,0
2020,3,Hungarian Grand Prix,KVY,AlphaTauri,17.0,81.48871428571428,12.0,0.0,1.0,0
2020,3,Hungarian Grand Prix,NOR,McLaren,8.0,80.98886666666667,13.0,0.0,26.0,0
2020,3,Hungarian Grand Prix,OCO,Renault,14.0,81.03613793103447,14.0,0.0,4.0,0
2020,3,Hungarian Grand Prix,RAI,Alfa Romeo Racing,20.0,80.93970370370371,15.0,0.0,0.0,0
2020,3,Hungarian Grand Prix,GRO,Haas F1 Team,18.0,81.29188888888888,16.0,0.0,0.0,0
2020,3,Hungarian Grand Prix,GIO,Alfa Romeo Racing,19.0,80.62853571428572,17.0,0.0,2.0,0
2020,3,Hungarian Grand Prix,RUS,Williams,12.0,81.00431034482759,18.0,0.0,0.0,0
2020,3,Hungarian Grand Prix,LAT,Williams,15.0,81.5472,19.0,0.0,0.0,0
2020,3,Hungarian Grand Prix,GAS,AlphaTauri,10.0,89.59704828633757,20.0,0.0,6.0,0
2020,4,British Grand Prix,HAM,Mercedes,1.0,90.061275,1.0,25.0,63.0,1
2020,4,British Grand Prix,VER,Red Bull Racing,3.0,90.374125,2.0,19.0,33.0,1
2020,4,British Grand Prix,LEC,Ferrari,4.0,91.2248157894737,3.0,15.0,18.0,1
2020,4,British Grand Prix,RIC,Renault,8.0,91.15380555555556,4.0,12.0,8.0,1
2020,4,British Grand Prix,NOR,McLaren,5.0,91.25119444444445,5.0,10.0,26.0,1
2020,4,British Grand Prix,OCO,Renault,9.0,91.23076470588234,6.0,8.0,4.0,1
2020,4,British Grand Prix,GAS,AlphaTauri,11.0,91.22945454545454,7.0,6.0,6.0,1
2020,4,British Grand Prix,ALB,Red Bull Racing,12.0,90.54534285714284,8.0,4.0,22.0,1
2020,4,British Grand Prix,STR,Racing Point,6.0,91.58914285714286,9.0,2.0,18.0,1
2020,4,British Grand Prix,VET,Ferrari,10.0,91.59618181818183,10.0,1.0,9.0,1
2020,4,British Grand Prix,BOT,Mercedes,2.0,90.19897435897437,11.0,0.0,58.0,0
2020,4,British Grand Prix,RUS,Williams,15.0,91.7103870967742,12.0,0.0,0.0,0
2020,4,British Grand Prix,SAI,McLaren,7.0,91.28299999999999,13.0,0.0,15.0,0
2020,4,British Grand Prix,GIO,Alfa Romeo Racing,17.0,91.75631249999999,14.0,0.0,2.0,0
2020,4,British Grand Prix,LAT,Williams,20.0,91.74845161290324,15.0,0.0,0.0,0
2020,4,British Grand Prix,GRO,Haas F1 Team,19.0,91.23803225806452,16.0,0.0,0.0,0
2020,4,British Grand Prix,RAI,Alfa Romeo Racing,18.0,92.20776923076923,17.0,0.0,0.0,0
2020,4,British Grand Prix,KVY,AlphaTauri,14.0,92.443,18.0,0.0,1.0,0
2020,4,British Grand Prix,MAG,Haas F1 Team,16.0,89.59704828633757,19.0,0.0,1.0,0
2020,4,British Grand Prix,HUL,Racing Point,13.0,89.59704828633757,20.0,0.0,0.0,0
2020,5,70th Anniversary Grand Prix,VER,Red Bull Racing,4.0,91.10746938775509,1.0,25.0,52.0,1
2020,5,70th Anniversary Grand Prix,HAM,Mercedes,2.0,91.4657,2.0,19.0,88.0,1
2020,5,70th Anniversary Grand Prix,BOT,Mercedes,1.0,91.50651020408162,3.0,15.0,58.0,1
