year,round,event,driver,team,quali_position,avg_race_lap_time_s,lap_delta_vs_event_mean_s,finish_position,points_awarded,prev_points_total,rolling_points_last3,driver_points_per_race,team_prev_points_total,team_points_per_race,scored_points
2020,1,Austrian Grand Prix,BOT,Mercedes,1.0,68.8516346153846,-1.1401189330024977,1.0,25.0,0.0,0.0,0.0,0.0,0.0,1
2020,1,Austrian Grand Prix,LEC,Ferrari,7.0,69.49736,-0.4943935483870945,2.0,18.0,0.0,0.0,0.0,0.0,0.0,1
2020,1,Austrian Grand Prix,NOR,McLaren,4.0,69.44406,-0.5476935483871017,3.0,16.0,0.0,0.0,0.0,0.0,0.0,1
2020,1,Austrian Grand Prix,HAM,Mercedes,2.0,68.78976,-1.2019935483870938,4.0,12.0,0.0,0.0,0.0,25.0,25.0,1
2020,1,Austrian Grand Prix,SAI,McLaren,8.0,69.67617999999999,-0.31557354838710694,5.0,10.0,0.0,0.0,0.0,16.0,16.0,1
2020,1,Austrian Grand Prix,PER,Racing Point,6.0,69.4739,-0.5178535483870945,6.0,8.0,0.0,0.0,0.0,0.0,0.0,1
2020,1,Austrian Grand Prix,GAS,AlphaTauri,12.0,70.18508163265307,0.19332808426597126,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1
2020,1,Austrian Grand Prix,OCO,Renault,14.0,70.31833333333334,0.3265797849462473,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1
2020,1,Austrian Grand Prix,GIO,Alfa Romeo Racing,18.0,70.34608888888889,0.35433534050179105,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1
2020,1,Austrian Grand Prix,VET,Ferrari,11.0,70.2968163265306,0.30506277814350824,10.0,1.0,0.0,0.0,0.0,18.0,18.0,1
2020,1,Austrian Grand Prix,LAT,Williams,20.0,70.94536363636364,0.9536100879765428,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,1,Austrian Grand Prix,KVY,AlphaTauri,13.0,70.48421276595745,0.4924592175703566,12.0,0.0,0.0,0.0,0.0,6.0,6.0,0
2020,1,Austrian Grand Prix,ALB,Red Bull Racing,5.0,69.48424444444444,-0.5075091039426525,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,1,Austrian Grand Prix,RAI,Alfa Romeo Racing,19.0,70.53917142857144,0.5474178801843408,14.0,0.0,0.0,0.0,0.0,2.0,2.0,0
2020,1,Austrian Grand Prix,RUS,Williams,17.0,70.78379411764706,0.7920405692599672,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,1,Austrian Grand Prix,GRO,Haas F1 Team,15.0,71.05190625,1.0601527016129069,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,1,Austrian Grand Prix,MAG,Haas F1 Team,16.0,71.25706249999999,1.2653089516128944,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,1,Austrian Grand Prix,STR,Racing Point,9.0,70.80236363636364,0.8106100879765421,18.0,0.0,0.0,0.0,0.0,8.0,8.0,0
2020,1,Austrian Grand Prix,RIC,Renault,10.0,70.9468,0.9550464516129011,19.0,0.0,0.0,0.0,0.0,4.0,4.0,0
2020,1,Austrian Grand Prix,VER,Red Bull Racing,3.0,69.50762499999999,-0.48412854838710473,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,2,Styrian Grand Prix,HAM,Mercedes,1.0,68.21092424242424,-0.6509151653206402,1.0,25.0,12.0,12.0,12.0,37.0,18.5,1
2020,2,Styrian Grand Prix,BOT,Mercedes,4.0,68.31021874999999,-0.5516206577448912,2.0,18.0,25.0,25.0,25.0,62.0,20.666666666666668,1
2020,2,Styrian Grand Prix,VER,Red Bull Racing,2.0,68.36593650793651,-0.495902899808371,3.0,15.0,0.0,0.0,0.0,0.0,0.0,1
2020,2,Styrian Grand Prix,ALB,Red Bull Racing,7.0,68.68958064516129,-0.17225876258359563,4.0,12.0,0.0,0.0,0.0,15.0,5.0,1
2020,2,Styrian Grand Prix,NOR,McLaren,6.0,68.6481851851852,-0.2136542225596827,5.0,10.0,16.0,16.0,16.0,26.0,13.0,1
2020,2,Styrian Grand Prix,PER,Racing Point,17.0,68.54789090909091,-0.31394849865397134,6.0,8.0,8.0,8.0,8.0,8.0,4.0,1
2020,2,Styrian Grand Prix,STR,Racing Point,13.0,68.83352631578948,-0.028313091955396885,7.0,6.0,0.0,0.0,0.0,16.0,5.333333333333333,1
2020,2,Styrian Grand Prix,RIC,Renault,9.0,68.82667857142857,-0.035160836316308064,8.0,4.0,0.0,0.0,0.0,4.0,2.0,1
2020,2,Styrian Grand Prix,SAI,McLaren,3.0,68.97045614035088,0.10861673260599503,9.0,3.0,10.0,10.0,10.0,36.0,12.0,1
2020,2,Styrian Grand Prix,KVY,AlphaTauri,14.0,69.17634782608697,0.3145084183420863,10.0,1.0,0.0,0.0,0.0,6.0,3.0,1
2020,2,Styrian Grand Prix,RAI,Alfa Romeo Racing,16.0,69.39513207547168,0.5332926677267977,11.0,0.0,0.0,0.0,0.0,2.0,1.0,0
2020,2,Styrian Grand Prix,MAG,Haas F1 Team,15.0,69.16406666666667,0.30222725892178914,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,2,Styrian Grand Prix,GRO,Haas F1 Team,20.0,69.17610869565219,0.3142692879073081,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,2,Styrian Grand Prix,GIO,Alfa Romeo Racing,19.0,69.33727906976746,0.4754396620225805,14.0,0.0,2.0,2.0,2.0,2.0,0.6666666666666666,0
2020,2,Styrian Grand Prix,GAS,AlphaTauri,8.0,69.13802439024391,0.2761849824990321,15.0,0.0,6.0,6.0,6.0,7.0,2.3333333333333335,0
2020,2,Styrian Grand Prix,RUS,Williams,12.0,69.33913793103449,0.47729852328960476,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,2,Styrian Grand Prix,LAT,Williams,18.0,69.52368965517242,0.6618502474275374,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,2,Styrian Grand Prix,OCO,Renault,5.0,69.76108333333333,0.8992439255884506,18.0,0.0,4.0,4.0,4.0,8.0,2.6666666666666665,0
2020,2,Styrian Grand Prix,LEC,Ferrari,11.0,89.66155347878662,0.09844461402451214,19.0,0.0,18.0,18.0,18.0,19.0,9.5,0
2020,2,Styrian Grand Prix,VET,Ferrari,10.0,89.66155347878662,0.09844461402451214,20.0,0.0,1.0,1.0,1.0,19.0,6.333333333333333,0
